Timestamp,DiskUsage,InodesUsage
2024-10-07 00:00:52,671400,4294224026
2024-10-07 00:01:52,671398,4294224026
2024-10-07 00:02:52,671396,4294224026
2024-10-07 00:03:52,671391,4294224026
2024-10-07 00:04:52,671390,4294224026
2024-10-07 00:05:52,671387,4294224026
2024-10-07 00:06:52,671386,4294224026
2024-10-07 00:07:52,671394,4294224026
2024-10-07 00:08:52,671396,4294224026
2024-10-07 00:09:52,671400,4294224026
2024-10-07 00:10:52,671396,4294224026
2024-10-07 00:11:52,671399,4294224026
2024-10-07 00:12:52,671400,4294224026
2024-10-07 00:13:52,671401,4294224026
2024-10-07 00:14:52,671399,4294224026
2024-10-07 00:15:52,671396,4294224026
2024-10-07 00:16:52,671395,4294224026
2024-10-07 00:17:52,671396,4294224026
2024-10-07 00:18:52,671396,4294224026
2024-10-07 00:19:52,671397,4294224026
2024-10-07 00:20:53,671380,4294224026
2024-10-07 00:21:53,671379,4294224026
2024-10-07 00:22:53,671370,4294224026
